48	72	71	70	73	78	76	8	73	75	72	75	80	75	7	70	72	75	72	78	76	7	68	66	70	70	76	69	7	6	6	2	3	3	2	3	2	3	3	2	2	3	2	3	2	3	2	3	3	2	4	3	3	2	3	31	23	26	28	8	0	15	3
85	35	26	29	33	38	36	1	45	38	53	35	41	42	1	36	30	34	36	77	2	1	31	47	30	42	45	56	1	1	1	1	1	1	1	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	77	61	63	3	37	0	44	3
11	98	95	98	96	45	40	1	34	28	29	26	32	43	1	97	31	25	97	33	66	1	95	94	96	98	62	18	1	11	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	73	60	62	3	37	0	10	3
52	89	83	93	53	1	97	1	1	88	83	87	95	95	1	86	86	88	87	94	99	1	86	83	89	88	97	92	1	12	8	3	5	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	61	3	8	18	4	0	7	1
69	9	7	7	10	4	11	1	9	9	8	8	6	8	1	8	8	7	8	6	8	1	8	9	7	8	5	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21	39	44	42	28	0	75	1
45	15	13	10	9	10	16	1	10	7	6	7	10	14	1	9	9	8	15	16	23	1	13	8	10	10	14	25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	84	86	86	14	1	0	9	3
10	73	72	67	71	81	80	1	62	68	68	57	79	68	1	65	71	70	65	70	77	1	57	65	66	56	75	84	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	64	58	61	2	37	0	16	1
44	84	80	82	82	89	90	1	85	82	81	82	90	91	1	83	81	85	83	91	90	1	82	79	82	82	90	89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	83	85	85	15	1	0	13	2
11	11	9	9	11	18	20	1	11	14	11	14	15	31	1	10	13	13	9	24	50	1	9	6	6	11	34	2	1	11	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	73	60	62	3	37	0	3	3
59	44	59	62	56	70	78	1	65	59	78	1	47	35	1	51	54	59	53	59	44	1	62	54	56	58	66	61	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	71	15	19	20	4	0	4	2
